repo,contributorsCount,ageInDays,commitsCount,sizeJavaFiles,sizeJavaLOC_code,sizeJavaLOC_codeAndComments,refactorPRsClosed,refactorPRsMerged,refactorPRsRejected,totaPRsCount,openIssuesCount,totalIssuesCount,forksCount,watchers
payara/Payara,71,2078,15409,8151,828140,1466006,88,72,16,3251,153,1263,240,740
PCGen/pcgen,95,1969,26491,4072,390012,532825,28,23,5,6115,5,145,263,298
pentaho/big-data-plugin,90,2910,3452,612,82436,102045,34,31,3,2055,7,0,278,175
perwendel/spark,118,3303,978,180,11020,17499,28,13,15,430,202,535,1499,8742
pf4j/pf4j,43,2779,629,125,6786,10253,10,7,3,143,38,193,344,1113
pmd/pmd,184,2870,16400,2737,133977,173108,92,83,9,1265,381,832,993,2830
prestodb/presto,330,2841,17362,6359,769287,880802,755,424,331,10288,991,3264,3607,10491
processing/processing,109,2673,13176,261,99413,150187,19,12,7,997,568,4467,1415,5387
quarkusio/quarkus,283,684,12019,5270,278387,316518,152,129,23,5131,1147,3109,852,4699
rackerlabs/blueflood,25,2562,2967,441,41853,52543,82,69,13,758,43,38,99,591
react-native-community/react-native-video,161,1877,1189,23,3541,3935,13,10,3,394,792,817,1754,4924
ReactiveX/RxJava,249,2689,5742,1860,310448,389463,95,66,29,3427,605,2903,7143,42665
real-logic/aeron,73,2294,12462,608,96795,125065,12,9,3,401,19,520,581,5023
resilience4j/resilience4j,101,1813,1195,846,54865,75663,28,20,8,474,65,457,711,5445
RestComm/media-core,20,2833,1371,1167,110984,158406,5,2,3,233,174,455,106,131
rsksmart/rskj,41,1100,3990,1223,132293,163534,105,90,15,915,181,141,191,599
runelite/runelite,358,1481,9203,1732,230318,284736,101,61,40,4861,1665,5089,3768,2835
sakaiproject/sakai,197,1969,48971,5900,816405,1168882,206,172,34,7809,77,0,686,605
saros-project/saros,46,2512,6573,1207,97125,129786,118,97,21,618,142,227,44,119
scalecube/scalecube-services,19,1741,4420,191,10130,11914,27,22,5,592,26,119,65,431
seata/seata,151,509,973,1138,67203,106745,52,43,9,1205,321,1165,4139,15598
selenide/selenide,64,3025,3049,530,26935,30020,21,14,7,381,53,728,383,1144
signalapp/Signal-Android,199,3079,5387,1654,166471,176533,82,10,72,2032,681,6892,3315,13072
smartdevicelink/sdl_java_suite,32,2060,3713,1111,104927,163744,40,28,12,699,99,556,117,148
SonarSource/sonarqube,113,3423,29712,6285,490409,648357,175,108,67,3238,2,0,1274,4729
spacewalkproject/spacewalk,152,2275,38468,2704,210978,347519,24,3,21,722,5,0,225,613
SpigotMC/BungeeCord,104,2784,1676,262,19035,22379,10,0,10,570,192,2072,886,862
SpongePowered/SpongeAPI,94,2082,2617,1350,32694,109192,72,13,59,1039,224,848,346,1007
SpongePowered/SpongeCommon,94,1866,5448,3464,187836,282957,39,15,24,1017,172,1413,155,197
SpongePowered/SpongeForge,62,2081,3686,250,14766,22469,17,3,14,352,86,2683,324,1067
spotify/helios,44,2186,2450,493,46616,60913,55,44,11,1134,13,144,254,2036
spring-cloud/spring-cloud-commons,57,1997,1193,350,21170,29488,9,5,4,263,89,398,358,404
spring-cloud/spring-cloud-stream,65,1778,1488,256,20968,28575,46,2,44,747,44,1155,370,586
spring-projects/spring-framework,392,3451,20821,7262,663530,1008939,89,12,77,2663,1125,18610,24924,37024
spring-projects/spring-integration,141,3225,10146,2989,257775,353804,219,48,171,2938,40,297,831,1031
spring-projects/spring-security,368,3053,8695,2756,208264,309565,30,9,21,1351,906,6269,3885,4769
springfox/springfox,151,2936,3308,668,32154,46704,14,8,6,356,740,2211,1304,4356
square/okhttp,201,2858,4620,152,35515,39668,73,55,18,2887,141,3013,8035,37065
Team-RTG/Realistic-Terrain-Generation,18,1718,3389,660,60707,63418,24,18,6,517,10,826,107,218
TeamAmaze/AmazeFileManager,105,2137,3884,332,39201,47351,30,24,6,859,325,704,1013,2896
TEAMMATES/teammates,361,2210,17306,772,100051,114290,290,229,61,4032,277,5761,2105,1007
termux/termux-app,37,1671,657,50,9868,11449,2,1,1,123,254,1108,820,5491
Texera/texera,52,1527,4354,301,27773,34883,83,72,11,592,24,140,36,78
TheAlgorithms/Java,178,1404,999,175,8982,12800,12,3,9,776,401,135,8766,24189
triplea-game/triplea,35,1759,11952,1713,186402,205366,1396,1313,83,4691,95,1705,77,222
twitter-archive/commons,75,3368,1658,588,43448,62905,8,4,4,337,86,0,534,1908
twosigma/beakerx,38,2360,1682,1139,66318,88947,61,47,14,3781,344,4157,364,2394
typetools/checker-framework,95,1783,15400,2881,148584,195668,80,60,20,1891,297,1125,237,611
UniversalMediaServer/UniversalMediaServer,59,2903,7856,538,106017,154040,65,42,23,1053,329,665,311,1106
vaadin/flow,128,1848,19859,2124,169144,260145,341,297,44,4197,835,3248,75,247
vanilla-music/vanilla,46,2797,2169,113,19244,28962,6,2,4,141,153,733,253,716
vector-im/riot-android,250,1616,8097,175,46940,61849,20,16,4,879,1107,1488,459,1387
vert-x3/vertx-web,121,2014,2452,527,53850,69718,30,17,13,659,132,813,354,752
VoltDB/voltdb,87,3162,27578,3832,706645,989451,294,227,67,7088,73,0,393,1562
wildfly/wildfly,314,3604,29549,9522,576308,870822,199,84,115,13122,83,0,1917,2387
wso2/carbon-kernel,50,2309,2548,222,10826,17446,73,64,9,2339,139,208,502,77
wso2/product-ei,98,1246,3347,1739,134447,188684,52,49,3,1742,886,2179,229,246
wso2/product-is,129,2221,5977,616,72527,89906,59,44,15,3054,2583,2627,468,342
xwiki/xwiki-platform,119,3359,39674,4964,381171,609425,65,56,9,1265,41,0,346,523
yahoo/elide,40,1682,1939,635,48601,60518,82,66,16,999,124,198,157,657
yegor256/takes,71,1960,2798,464,24226,46790,72,53,19,411,63,575,176,633
zalando/opentracing-toolbox,12,1680,850,245,8308,8634,12,11,1,359,4,62,39,137
zaproxy/zaproxy,136,1813,7390,1268,188692,264199,33,29,4,2296,679,3006,1378,7335
zxing/zxing,97,3143,3531,499,43657,60098,12,2,10,270,9,988,8663,25326
